0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86441	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74327	0.86441	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64162	0.74327	0.86441	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55125	0.64162	0.74327	0.86441	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47523	0.55125	0.64162	0.74327	0.86441	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40239	0.47523	0.55125	0.64162	0.74327	0.86441	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34689	0.40239	0.47523	0.55125	0.64162	0.74327	0.86441	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29764	0.34689	0.40239	0.47523	0.55125	0.64162	0.74327	0.86441	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24058	0.29764	0.34689	0.40239	0.47523	0.55125	0.64162	0.74327	0.86441	1	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0.19912	0.24058	0.29764	0.34689	0.40239	0.47523	0.55125	0.64162	0.74327	0.86441	1	1	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0.16077	0.19912	0.24058	0.29764	0.34689	0.40239	0.47523	0.55125	0.64162	0.74327	0.86441	1	1	1	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0.12706	0.16077	0.19912	0.24058	0.29764	0.34689	0.40239	0.47523	0.55125	0.64162	0.74327	0.86441	1	1	1	1	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0.094901	0.12706	0.16077	0.19912	0.24058	0.29764	0.34689	0.40239	0.47523	0.55125	0.64162	0.74327	0.86441	1	1	1	1	1	1	1	1	1	1	1	1	1	1
