0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66199	0.9733	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43853	0.64489	0.92935	0.9733	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0.27075	0.42313	0.61166	0.87284	0.92935	0.9733	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0.15361	0.25844	0.39552	0.56639	0.80249	0.87284	0.92935	0.9733	1	1	1	1	1	1
0	0	0	0	0	0	0.070361	0.14253	0.23505	0.35694	0.5103	0.72163	0.80249	0.87284	0.92935	0.9733	1	1	1	1	1	1	1
0	0	0	0.019999	0.060001	0.12109	0.20254	0.30939	0.44545	0.63253	0.72163	0.80249	0.87284	0.92935	0.9733	1	1	1	1	1	1	1	1
0	0.0099994	0.039999	0.090006	0.16038	0.25471	0.37374	0.53713	0.63253	0.72163	0.80249	0.87284	0.92935	0.9733	1	1	1	1	1	1	1	1	1
0	0.050001	0.10929	0.19111	0.29689	0.43723	0.53713	0.63253	0.72163	0.80249	0.87284	0.92935	0.9733	1	1	1	1	1	1	1	1	1	1
0	0.1193	0.21184	0.33447	0.43723	0.53713	0.63253	0.72163	0.80249	0.87284	0.92935	0.9733	1	1	1	1	1	1	1	1	1	1	1
0	0.22436	0.33447	0.43723	0.53713	0.63253	0.72163	0.80249	0.87284	0.92935	0.9733	1	1	1	1	1	1	1	1	1	1	1	1
0	0.33447	0.43723	0.53713	0.63253	0.72163	0.80249	0.87284	0.92935	0.9733	1	1	1	1	1	1	1	1	1	1	1	1	1
0	0.43723	0.53713	0.63253	0.72163	0.80249	0.87284	0.92935	0.9733	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	0.53713	0.63253	0.72163	0.80249	0.87284	0.92935	0.9733	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
