0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63663	0.9677	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42746	0.62047	0.92026	0.9677	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27226	0.41456	0.59087	0.86336	0.92026	0.9677	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0.1637	0.26175	0.39066	0.5528	0.79703	0.86336	0.92026	0.9677	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0.086687	0.15471	0.2423	0.35794	0.50436	0.72596	0.79703	0.86336	0.92026	0.9677	1	1	1	1	1	1	1
0	0	0	0	0	0.036792	0.079559	0.13867	0.21589	0.31847	0.44942	0.64598	0.72596	0.79703	0.86336	0.92026	0.9677	1	1	1	1	1	1	1	1
0	0	0.0073579	0.029433	0.065301	0.11636	0.1833	0.27303	0.38879	0.56091	0.64598	0.72596	0.79703	0.86336	0.92026	0.9677	1	1	1	1	1	1	1	1	1
0	0.014716	0.043687	0.087381	0.14581	0.22291	0.32379	0.47221	0.56091	0.64598	0.72596	0.79703	0.86336	0.92026	0.9677	1	1	1	1	1	1	1	1	1	1
0	0.051047	0.1021	0.16929	0.25562	0.38112	0.47221	0.56091	0.64598	0.72596	0.79703	0.86336	0.92026	0.9677	1	1	1	1	1	1	1	1	1	1	1
0	0.10993	0.18542	0.28879	0.38112	0.47221	0.56091	0.64598	0.72596	0.79703	0.86336	0.92026	0.9677	1	1	1	1	1	1	1	1	1	1	1	1
0	0.19629	0.28879	0.38112	0.47221	0.56091	0.64598	0.72596	0.79703	0.86336	0.92026	0.9677	1	1	1	1	1	1	1	1	1	1	1	1	1
0	0.28879	0.38112	0.47221	0.56091	0.64598	0.72596	0.79703	0.86336	0.92026	0.9677	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	0.38112	0.47221	0.56091	0.64598	0.72596	0.79703	0.86336	0.92026	0.9677	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
