0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8737	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73985	0.8737	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64262	0.73985	0.8737	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55267	0.64262	0.73985	0.8737	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47362	0.55267	0.64262	0.73985	0.8737	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0.39818	0.47362	0.55267	0.64262	0.73985	0.8737	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0.32998	0.39818	0.47362	0.55267	0.64262	0.73985	0.8737	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0.26179	0.32998	0.39818	0.47362	0.55267	0.64262	0.73985	0.8737	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0.1972	0.26179	0.32998	0.39818	0.47362	0.55267	0.64262	0.73985	0.8737	1	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0.13623	0.1972	0.26179	0.32998	0.39818	0.47362	0.55267	0.64262	0.73985	0.8737	1	1	1	1	1	1	1	1	1	1	1
0	0	0	0.078855	0.13623	0.1972	0.26179	0.32998	0.39818	0.47362	0.55267	0.64262	0.73985	0.8737	1	1	1	1	1	1	1	1	1	1	1	1
0	0.025086	0.078855	0.13623	0.1972	0.26179	0.32998	0.39818	0.47362	0.55267	0.64262	0.73985	0.8737	1	1	1	1	1	1	1	1	1	1	1	1	1
0	0.078855	0.13623	0.1972	0.26179	0.32998	0.39818	0.47362	0.55267	0.64262	0.73985	0.8737	1	1	1	1	1	1	1	1	1	1	1	1	1	1
