0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85859	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74676	0.85859	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63494	0.74676	0.85859	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0.52903	0.63494	0.74676	0.85859	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0.42905	0.52903	0.63494	0.74676	0.85859	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0.33497	0.42905	0.52903	0.63494	0.74676	0.85859	1	1	1	1	1	1	1
0	0	0	0	0	0	0.2468	0.33497	0.42905	0.52903	0.63494	0.74676	0.85859	1	1	1	1	1	1	1	1
0	0	0	0	0.16454	0.2468	0.33497	0.42905	0.52903	0.63494	0.74676	0.85859	1	1	1	1	1	1	1	1	1
0	0	0.082268	0.16454	0.2468	0.33497	0.42905	0.52903	0.63494	0.74676	0.85859	1	1	1	1	1	1	1	1	1	1
0	0.082268	0.16454	0.2468	0.33497	0.42905	0.52903	0.63494	0.74676	0.85859	1	1	1	1	1	1	1	1	1	1	1
0	0.16454	0.2468	0.33497	0.42905	0.52903	0.63494	0.74676	0.85859	1	1	1	1	1	1	1	1	1	1	1	1
0	0.2468	0.33497	0.42905	0.52903	0.63494	0.74676	0.85859	1	1	1	1	1	1	1	1	1	1	1	1	1
0	0.33497	0.42905	0.52903	0.63494	0.74676	0.85859	1	1	1	1	1	1	1	1	1	1	1	1	1	1
